Comp,Soil,Prop,N,wt.mean,min,max
Cover Crop,Chenneby,AggStab,4,7.5,4,12
Cover Crop,Chenneby,Bgluc,6,48.473684210526315,12,138
Cover Crop,Chenneby,BulkDensity,6,1.5883288636842106,1.46361677,1.66167295
Cover Crop,Chenneby,CALC_SOC,6,1.129929635,0.79148655,1.95761617
Cover Crop,Chenneby,CEC_ph7,6,9.730105036842104,9.4143491,10.7159443
Cover Crop,Chenneby,Mehlich3_P,6,25.945918260526316,4.2128359,63.3770998
Cover Crop,Chenneby,NewZ_P,6,15.236842105263158,14,17
Cover Crop,Chenneby,ph_h20,6,5.764736842105263,5.32,6.24
Cover Crop,Chenneby,Pom_C,6,0.24146917526315792,0.066572,0.71564582
Cover Crop,Chenneby,Pom_N,6,0.029036010789473685,0.016643,0.0597979
Cover Crop,Chenneby,Tot_N,6,0.14972050131578948,0.1116199,0.21300487
Cover Crop,Chenneby,Tot_P,6,433.6940728157895,231.290634,569.313325
Cover Crop,Chenneby,WaterSol_P,6,0.13562923421052633,0.044648,0.4167678
Cover Crop,Feliciana,AggStab,8,5.125,2,8
Cover Crop,Feliciana,Bgluc,10,62.25,11,162
Cover Crop,Feliciana,BulkDensity,10,1.496579895,1.44100924,1.57128017
Cover Crop,Feliciana,CALC_SOC,10,0.9933161533333333,0.5712662900000001,1.73691038
Cover Crop,Feliciana,CEC_ph7,10,13.311767291666666,12.8446957,14.0794572
Cover Crop,Feliciana,Mehlich3_P,10,62.61547920833333,13.3062229,225.8268994
Cover Crop,Feliciana,NewZ_P,10,22.75,18,28
Cover Crop,Feliciana,ph_h20,10,6.096666666666667,5.46,6.52
Cover Crop,Feliciana,Pom_C,10,0.24371876416666668,0.0590341,0.67754502
Cover Crop,Feliciana,Pom_N,10,0.017919525,0.00607939,0.04843137
Cover Crop,Feliciana,Tot_N,10,0.1438889925,0.10227757,0.21419485
Cover Crop,Feliciana,Tot_P,10,666.3443881666666,494.222585,987.178153
Cover Crop,Feliciana,WaterSol_P,10,0.3677096416666667,0.1104026,1.3157683
Cover Crop,Hicks,AggStab,4,23.75,19,31
Cover Crop,Hicks,Bgluc,6,66.56140350877193,28,195
Cover Crop,Hicks,BulkDensity,6,1.5084735170175438,1.41877083,1.54405035
Cover Crop,Hicks,CALC_SOC,6,1.7609071656140352,1.4243730099999998,2.72484684
Cover Crop,Hicks,CEC_ph7,6,16.944920033333332,15.8149302,19.3273182
Cover Crop,Hicks,Mehlich3_P,6,272.3415349105263,207.6218842,372.6651278
Cover Crop,Hicks,NewZ_P,6,33.49122807017544,27,38
Cover Crop,Hicks,ph_h20,6,5.939473684210527,5.57,6.15
Cover Crop,Hicks,Pom_C,6,0.24930967771929827,0.13059476,0.66745698
Cover Crop,Hicks,Pom_N,6,0.019943866666666667,0.0070063,0.05756303
Cover Crop,Hicks,Tot_N,6,0.2281359812280702,0.19449944,0.31904044
Cover Crop,Hicks,Tot_P,6,11548.542139122806,10042.39584,13908.85315
Cover Crop,Hicks,WaterSol_P,6,1.0043027368421051,0.7467755,1.284368
No Cover Crop,Chenneby,AggStab,4,5.5,2,9
No Cover Crop,Chenneby,Bgluc,6,42.26315789473684,14,106
No Cover Crop,Chenneby,BulkDensity,6,1.5695356871052633,1.45504433,1.65352214
No Cover Crop,Chenneby,CALC_SOC,6,1.2140889410526317,0.89535205,1.84589522
No Cover Crop,Chenneby,CEC_ph7,6,9.977039402631577,9.4277976,10.9005203
No Cover Crop,Chenneby,Mehlich3_P,6,77.07705937368421,37.7699008,143.7229054
No Cover Crop,Chenneby,NewZ_P,6,15.473684210526315,14,17
No Cover Crop,Chenneby,ph_h20,6,5.7084210526315795,5.11,6.2
No Cover Crop,Chenneby,Pom_C,6,0.19424916289473684,0.12330765,0.32111222
No Cover Crop,Chenneby,Pom_N,6,0.023733474736842106,0.01654127,0.03528706
No Cover Crop,Chenneby,Tot_N,6,0.1568056113157895,0.12154378,0.21298791
No Cover Crop,Chenneby,Tot_P,6,635.2636318947368,482.550092,835.766586
No Cover Crop,Chenneby,WaterSol_P,6,0.3991340526315789,0.1539555,0.9980005
No Cover Crop,Hicks,AggStab,4,9.75,4,15
No Cover Crop,Hicks,Bgluc,6,79.95744680851064,19,241
No Cover Crop,Hicks,BulkDensity,6,1.5143563702127658,1.38647963,1.59018185
No Cover Crop,Hicks,CALC_SOC,6,1.6387454951063831,1.14303851,2.7534157
No Cover Crop,Hicks,CEC_ph7,6,13.999217089361702,13.0082821,15.6023207
No Cover Crop,Hicks,Mehlich3_P,6,102.96515088510638,59.5660887,173.0754644
No Cover Crop,Hicks,NewZ_P,6,22.319148936170212,20,26
No Cover Crop,Hicks,ph_h20,6,6.0778723404255315,5.13,6.61
No Cover Crop,Hicks,Pom_C,6,0.3334670361702127,0.09135314,0.95630022
No Cover Crop,Hicks,Pom_N,6,0.02859220021276596,0.00830483,0.07101239
No Cover Crop,Hicks,Tot_N,6,0.2012208770212766,0.14287981,0.30539136
No Cover Crop,Hicks,Tot_P,6,2476.9970915531917,2154.028952,2672.682231
No Cover Crop,Hicks,WaterSol_P,6,0.527569355319149,0.2615919,0.8897068
