Comp,Prop,N,w.mean,min,max
Cover Crop,AggStab,8,11.875,2,31
Cover Crop,Bgluc,8,134.875,86,195
Cover Crop,BulkDensity,8,1.4771600762500001,1.41877083,1.52993968
Cover Crop,CALC_SOC,8,1.8151722387500002,1.1902398299999999,2.72484684
Cover Crop,CEC_ph7,8,14.131456675,10.0311603,19.3273182
Cover Crop,Mehlich3_P,8,156.92149775000001,27.1537675,372.6651278
Cover Crop,NewZ_P,8,22.625,14,34
Cover Crop,ph_h20,8,6.10375,5.53,6.52
Cover Crop,Pom_C,8,0.54618240875,0.31037274,0.71564582
Cover Crop,Pom_N,8,0.0428563,0.02297891,0.0597979
Cover Crop,Tot_N,8,0.21568346875,0.16340055,0.31904044
Cover Crop,Tot_P,8,3533.3638435000003,440.215307,13908.85315
Cover Crop,WaterSol_P,8,0.7233331375000001,0.0902735,1.3157683
No Cover Crop,AggStab,4,7.25,2,10
No Cover Crop,Bgluc,4,76.25,35,106
No Cover Crop,BulkDensity,4,1.4428332575,1.38647963,1.48160391
No Cover Crop,CALC_SOC,4,1.6178964274999998,1.35365526,1.88325667
No Cover Crop,CEC_ph7,4,12.00768115,9.4277976,14.1011965
No Cover Crop,Mehlich3_P,4,127.956947375,100.8423913,143.7229054
No Cover Crop,NewZ_P,4,19.75,14,26
No Cover Crop,ph_h20,4,5.784999999999999,5.33,6.33
No Cover Crop,Pom_C,4,0.2756122425,0.15293971,0.41038704
No Cover Crop,Pom_N,4,0.028211107500000006,0.01853815,0.03528706
No Cover Crop,Tot_N,4,0.20072152499999998,0.17207893,0.23413461
No Cover Crop,Tot_P,4,1703.0997252499997,747.270985,2672.682231
No Cover Crop,WaterSol_P,4,0.660356775,0.4219645,0.9980005
