cLHS.select,smp.id,Dupl,area.code,taxonomic.order,horz.desgn.master,lay.depth.to.top,lay.depth.to.bottom,MGMT_lable,Measured.Active.Carbon,pH,Clay,Sand,Silt,Est.Org.C,Total.Carbon
196,129404,D,OR,INCEPTISOLS,A,2,12,,2182,5.3,37.6,9.3,53.1,7.58,7.6
1259,232164,D,KS,MOLLISOLS,A,0,8,NT,739,6.2,24.3,13.7,62,1.9044,1.9
1312,233868,D,MI,HISTOSOLS,O,0,18,W,17953,5.9,22.2,17.5,60.3,42.9848,43
1222,231916,D,SD,MOLLISOLS,A,2,6,T,919,6,17.7,37.5,44.8,4.536,4.6
1146,229943,U,MN,MOLLISOLS,A,26,50,R,621,7.2,34.8,8.4,56.8,2.2996,2.3
246,130205,U,TX,ALFISOLS,A,14,22,R,182,7.1,16.4,62.9,20.7,0.69,0.7
1012,179396,U,NM,MOLLISOLS,A,8,27,,883,8,19.9,49.5,30.6,3.0376,7.1
793,166196,U,OR,ANDISOLS,A,6,23,,449,5.2,14.8,34.5,50.7,3.73,3.7
501,134599,U,AZ,ENTISOLS,A,8,43,,73,8.2,11.8,79.3,8.9,0.3484,0.9
818,166263,U,OR,ANDISOLS,A,9,20,,606,5.4,7.4,55,37.6,4.47,4.5
38,88187,U,UT,ARIDISOLS,A,2,5,R,253,8.5,4.5,82.8,12.7,0.2996,0.9
387,131514,U,KS,MOLLISOLS,A,28,40,NT,293,5.8,24.4,1.5,74.1,1.27,1.3
963,167911,U,OK,MOLLISOLS,A,0,2,T,334,4.4,25.7,10.5,63.8,1.02,1
683,141632,U,TX,ALFISOLS,A,0,3,R,327,7.3,14.6,68.4,17,1.44,1.4
615,138973,U,CO,,A,0,5,,557,7.1,29.5,27.2,43.3,1.72,1.7
1099,222969,U,SD,MOLLISOLS,A,2,21,T,657,6.7,21.5,52.8,25.7,2.13,2.1
1373,233934,U,MI,HISTOSOLS,O,55,150,W,20820,5.4,19.2,3.2,77.6,49.38,49.4
772,146821,U,TX,ALFISOLS,A/B,16,33,T,218,8.3,13.6,79.2,7.2,0.32,0.3
939,167875,U,OK,MOLLISOLS,A,0,2,NT,516,5.1,27,11.4,61.6,1.83,1.8
1386,233952,U,MI,HISTOSOLS,O,0,14,W,7934,5.5,14.9,44.6,40.5,28.84,28.8
1045,184941,U,SD,MOLLISOLS,A,5,16,T,444,6.5,29,25.5,45.5,0.8608,0.9
369,131496,U,KS,MOLLISOLS,A,5,13,NT,310,4.9,20.7,5.2,74.1,1.13,1.1
688,141724,U,TX,ALFISOLS,A,3,11,R,254,7.3,12.3,76.8,10.9,0.5,0.5
1162,230753,U,NE,MOLLISOLS,A,0,5,P,1304,6.4,30.6,5,64.4,6.0684,6.1
684,141635,U,TX,ALFISOLS,A,0,3,R,510,7.4,16.5,67.9,15.6,1.3,1.3
430,131908,U,NE,MOLLISOLS,A,5,19,T,294,6.8,23.1,10.9,66,0.83,0.8
320,130730,U,NE,MOLLISOLS,A,0,5,O,551,6.1,27.3,4.2,68.5,2.46,2.5
1067,184986,U,SD,MOLLISOLS,A,0,2,R,1179,6.3,24.4,17.9,57.7,4.2172,4.2
887,167797,U,OK,MOLLISOLS,A,2,36,R,401,6.1,18,19.5,62.5,1.22,1.2
534,134723,U,AZ,MOLLISOLS,A,0,28,,384,7.6,20.2,43.4,36.4,1.4896,1.5
Add,231881,D,SD,mollisols,A,0,2,NT,918,4.8,23.3,14.9,61.8,3.7556,3.8
Add,231882,D,SD,mollisols,A,2,3,NT,733,4.6,24.2,16.3,59.5,2.818,2.8
Add,231886,D,SD,mollisols,A,0,3,NT,732,4.6,22.9,16.7,60.4,3.1616,3.2
Add,231915,D,SD,mollisols,A,0,2,T,2411,5.5,21.2,35.4,43.4,9.73,9.7
Add,232148,D,KS,mollisols,A,0,8,NT,813,5.5,27.4,12.6,60.0,2.4288,2.4
Add,232158,D,KS,mollisols,A,0,19,T,224,7.6,38.0,11.0,51.0,0.7108,0.7
Add,131907,U,NE,mollisols,A,0,5,T,422,5.4,22.7,10.7,66.6,1.36,1.4
Add,130738,U,NE,Mollisols,A,0,5,NT,587,7.3,27.9,1.9,70.2,2.592,2.8
Add,130734,U,NE,Mollisols,A,0,5,O,587,5.7,26.8,4.6,68.6,2.57,2.6
